country_code,country_name,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967,1966,1965,1964,1963,1962,1961
JAM,Jamaica,,,,,,0.411,,,,,0.85,,,,,,1.401,1.401,0.57,,0.472000003,,,0.569999993,,,,,,0.489100009,,,0.358900011,,0.360700011,,,,,,,,,0.379900008,,,,,0.501704574,,,,
JOR,Jordan,,,,2.558,,,2.561,,2.36,2.03,,,2.05,,,,1.66,,,1.625499964,,,1.347800016,,,,,,,1.159399986,,1.128100038,1.114099979,0.786300004,,,,,0.377900004,,,,,0.403800011,,,,,0.369680852,,,,
JPN,Japan,,,,2.297,,2.142,,2.063,,2.12,,2.0,,1.9,,1.9,,1.8,,1.8,,1.7,,1.7,,1.6,,1.5,1.5,1.4,,1.4,1.3,1.3,1.2,1.2,1.2,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
KAZ,Kazakhstan,,3.583,3.84,4.099,,3.7,3.877,3.88,3.7,3.6,3.539,3.612,3.302,3.292,3.201,3.528,3.301,3.639,3.635,3.603699923,3.765899897,3.907500029,3.838900089,3.975899935,3.96239996,3.871500015,3.791100025,3.724299908,3.629100084,3.531300068,3.395900011,3.253299952,3.154099941,3.035700083,,,,,,,,,,,,,,,,,,,
KEN,Kenya,,,0.181,,,,,,,0.139,,0.14,,,,,,,0.132,,0.137799993,,,0.0451,,,,,0.154499993,,,0.120200001,0.098999999,,,,,,0.126599997,,,,,0.125,,,,,0.075289771,,,,
KGZ,Kyrgyz Republic,,1.964,2.469,2.301,,,2.301,2.39,,2.5,2.6,2.6,2.679,2.823,2.875,3.01,3.058,3.293,3.208,3.096400023,3.118400097,3.349499941,3.412400007,3.37409997,3.368700027,3.323499918,3.249599934,3.147099972,3.038599968,2.928499937,3.060800076,2.769399881,3.088399887,2.601900101,,,,,,,,,,,,,,,,,,,
KHM,Cambodia,,0.22,,0.23,,0.227,,,,,,,,0.16,0.296,0.297,,,,0.104800001,0.103799999,0.106700003,,,,,,,,,0.058200002,,,,,,,,,,,,,0.061500002,,,,,0.044618141,,,,
KIR,Kiribati,,,,0.376,,,,0.297,,0.23,,,,,,0.296,,,,,0.130099997,0.185800001,0.176100001,0.193499997,,,,0.496600002,,,,,,0.51639998,,,,,,,,,,0.613499999,,,,,,,,,
KNA,St. Kitts and Nevis,,,,,,,,,,,,,1.167,1.0952,,,1.186,,1.07,,,,,0.899999976,,,,,,0.458000004,,,,0.360399991,,,,,,,,,,0.311800003,,,,,,,,,
KOR,"Korea, Rep.",,2.143,,2.024,,1.967,,,,1.71,1.57,1.5,1.4,1.3,1.3,1.3,1.2,1.2,1.1,1.1,1.0,1.0,0.9,0.8,0.8,0.7,0.7,0.6,0.6,0.6,0.5,0.5,0.5,,,,,,,,,,,,,,,,,,,,
KSV,Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KWT,Kuwait,,,,1.793,1.793,,,,1.8,,,,1.525,,,,1.89,,1.783,,,,,0.1831,,,,1.565600038,,,,1.620399952,1.41170001,1.698199987,,,,,,,,,,0.954299986,,,,,1.263269663,,,,
LAC,Latin America & Caribbean (developing only),,,,1.974667159,,,,,,,,,,1.623269582,,,,,,,,,,1.341186326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COD,"Congo, Dem. Rep.",,,,,,,,,,0.107,,,,,,,,0.069,,,,,,0.066100001,,,0.074699998,,,,,,,,0.072800003,,,,0.035700001,,,,,0.035300002,,,,,0.028420093,,,,
ZMB,Zambia,,,,0.066,,,,0.055,,0.12,,,,,,,,,0.069,,,,,0.091600001,,,,,0.140900001,,0.139500007,,0.126399994,0.075599998,,,,,0.074199997,,,,,0.073299997,,,,,0.087714441,,,,
ZWE,Zimbabwe,,,,,0.062,,,,,0.16,,0.057,,,,,,,0.139,,,,,0.135399997,,,0.134800002,,0.162499994,,,,0.138500005,0.160899997,,,,,0.157800004,,,,,0.161500007,,,,,0.124799997,,,,
LAO,Lao PDR,,0.182,,0.272,0.187,,,,0.272,0.35,,,,,,,,0.586,,,,,,0.234300003,,,,,0.728799999,,,,,,,,,0.050900001,,,,,,0.066,,,,,0.041118421,,,,
LBN,Lebanon,,,3.2,3.54,3.54,,,3.254,2.36,,,,3.253,,,,2.1,,,,1.862200022,,1.325899959,,1.862400055,,,,,,1.255300045,,1.714300036,,1.692600012,,,,,,,,,0.726000011,,,,,0.937694609,,,,
LBR,Liberia,,,,0.014,,0.014,,,,0.03,,,,,,,0.023,,,,,,,,,,,,,,0.106700003,,0.105800003,,,,,,0.079599999,,,,,0.079400003,,,,,0.08033473,,,,
LBY,Libya,,,,1.9,1.9,,,,,1.25,,,,,,,1.29,,,,1.440799952,,,1.07099998,,,,,,,1.439700007,1.562399983,1.632699966,1.333199978,,,,,,,,,,0.368099988,,,,,0.258780032,,,,
LCA,St. Lucia,,,,,,,,,,,,0.473,,,5.17,,0.473,,0.56,,0.54400003,,0.393299997,0.349999994,,,,,,0.284799993,,,,,,,,,,,,,,0.187399998,,,,,,,,,
LCN,Latin America & Caribbean (all income levels),,,,1.953689999,,,,,,,,,,1.622019978,,,,,,,,,,1.348561668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCR,Latin America and the Caribbean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LDC,Least developed countries: UN classification,,,,0.190934482,,,,,,,,,,0.135382048,,,,,,,,,,0.088333823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIC,Low income,,,,0.209218493,,,,,,,,,,0.154185366,,,,,,,,,,0.119322957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIE,Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LKA,Sri Lanka,,,,0.68,,,,0.492,,0.55,,,,0.428,0.365,,,,,0.230299994,0.1461,,,,0.1461,,,0.137600005,0.181299999,,,0.134000003,0.1338,0.139400005,,,,,0.169499993,,,,,0.169400007,,,,,0.171891794,,,,
LMC,Lower middle income,,,,0.789093267,,,,,,,,,,0.644492616,,,,,,,,,,0.587902417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LMY,Low & middle income,,,,1.177812152,,,,,,,,,,1.030827837,,,,,,,,,,0.937815481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LSO,Lesotho,,,,,,,,,,,0.049,,,,,,,,0.054,,0.0504,,,0.043000002,,,,,0.071000002,,,,,,,,,,0.0319,,,,,0.031800002,,,,,0.048289739,,,,
LTU,Lithuania,,4.116,,3.641,,3.664,4.034,3.95,,,3.973,,4.027,4.01,4.151,4.12,4.128,4.099,4.061,4.091100216,3.977600098,3.927999973,3.904900074,4.02699995,3.976599932,3.941200018,3.885099888,3.816499949,3.720099926,,,,,,,,,,,,,,,,,,,,,,,,
LUX,Luxembourg,,2.824,2.779,2.766,,,2.862,,2.852,2.73,2.7,2.6,2.5,2.5,2.5,2.4,2.4,2.3,2.2,2.2,2.1,2.1,2.0,2.0,2.0,1.9,1.8,1.9,1.8,1.7,1.7,1.7,1.5,1.7,1.6,1.5,1.3,1.3,1.3,1.2,1.2,1.2,1.2,1.1,1.1,1.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
LVA,Latvia,,,2.878,2.899,,,3.039,3.14,,,3.008,,2.914,3.204,3.177,3.061,2.96,2.994,2.976,3.060199976,3.197499991,3.601700068,4.046299934,4.1177001,4.162000179,4.183300018,4.111800194,4.0770998,4.099100113,,,,,3.622999907,,,,,,,,,,,,,,,,,,,
MAC,"Macao SAR, China",,,,,,,,,,,,,,,,,,,,,,,,,,,1.56190002,2.427900076,,,,,1.122499943,1.067499995,,,,,,,,,,0.633899987,,,,,,,,,
MAF,St. Martin (French part),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAR,Morocco,,,,0.62,0.62,,0.564,,,0.51,,,0.483,,,,0.46,,,0.362800002,0.214399993,,,,,0.214300007,0.217199996,,,,,0.064499997,0.0539,,,,,,0.076300003,,,,,0.076399997,,,,,0.082488932,,,,
MCA,Mexico and Central America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCO,Monaco,,7.167,7.056,,,,,,,,,,,,,,,,5.81,,,3.0,,,2.85710001,,,,,,,2.185199976,2.230799913,2.384599924,2.359999895,2.319999933,2.400000095,2.416699886,2.359999895,2.375,2.25,2.208300114,1.958299994,2.400000095,,,,,,,,,
MDA,Moldova,,2.859,3.643,2.677,,,2.668,2.66,,,2.636,,2.694,3.18,3.245,3.631,3.582,3.562,3.513,3.56430006,3.555399895,3.509599924,3.484100103,3.550199986,3.573400021,3.520400047,3.443599939,3.370300055,3.296700001,3.193200111,3.08920002,3.006900072,2.895299911,2.815599918,,,,,,,,,,,,,,,,,,,
MDG,Madagascar,,,,0.161,,,0.161,,,0.29,,0.14,0.087,,,,,0.107,0.272,,,,,0.1197,,,,,0.100900002,,,,0.099399999,,,,,,0.096299998,,,,,0.097199999,,,,,0.092966057,,,,
MDV,Maldives,,,,1.415,,,1.595,,,0.92,,,,0.777,,,,,0.4,,0.191400006,,,0.069799997,0.072400004,,,,,,,0.065499999,0.0491,,,,,,,,,,,0.033100002,,,,,,,,,
MEA,Middle East & North Africa (all income levels),,,,1.475924411,,,,,,,,,,1.307853276,,,,,,,,,,0.681789045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEX,Mexico,,,2.095,1.959,1.959,,,,,2.893,1.5,1.5,1.5,1.98,1.7,1.2,1.4,1.6,1.6,1.5,1.4,1.3,1.1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MHL,Marshall Islands,,,,0.438,,0.559,,,,,,,,0.47,,,,0.422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIC,Middle income,,,,1.312163245,,,,,,,,,,1.14167973,,,,,,,,,,1.035700503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MKD,"Macedonia, FYR",,,,2.627,2.624,2.627,,2.5463,,,,,2.191,2.201,2.211,2.246,2.249,2.251,2.297,2.315099955,2.342900038,2.371000052,2.342400074,2.167700052,2.139699936,2.032900095,1.951900005,1.901100039,1.808500051,1.671300054,1.67869997,1.494799972,1.466099977,1.343600035,1.310799956,1.238100052,1.158100009,1.113899946,1.120800018,1.025400043,1.012300014,0.953499973,0.918900013,0.890200019,,,,,,,,,
MLI,Mali,,,,0.083,,0.049,0.074,,,0.08,,,,0.044,,,,0.063,0.043,0.046999998,,,,0.051399998,,0.054400001,0.0425,,0.0394,,,,0.0385,0.039299998,,,,,0.023399999,,,,,0.022700001,,,,,0.019415449,,,,
MLT,Malta,,3.495,3.226,3.112,,,3.351,3.88,,,3.183,,2.926,2.654,2.591,2.607,2.465,,,,2.452526093,2.421799898,2.446199894,2.259200096,1.973199964,2.015000105,2.031899929,,,1.379500031,,1.266100049,1.171900034,,,,,,1.276299953,,,,1.026100039,1.07190001,,,,,,,,,
MMR,Myanmar,,0.612,,0.501,,0.457,,,,0.36,,,,0.302,0.297,,,,0.293,,,,,0.078400001,0.0814,,,,0.269899994,,,,0.202700004,,,,,,,,,,,0.114399999,,,,,0.084941439,,,,
MNA,Middle East & North Africa (developing only),,,,1.42169409,,,,,,,,,,1.227778649,,,,,,,,,,0.573345284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MNE,Montenegro,,,1.979,2.026,,,1.986,2.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MNG,Mongolia,,,,2.763,,2.763,,,,,,2.63,,,2.54,2.433,,,,,,2.618000031,2.694900036,2.538399935,,,,,,,,9.532099724,9.81400013,,,,,,,,,,,1.729300022,,,,,1.377513766,,,,
MNP,Northern Mariana Islands,,,,,,,,,,,,,,,0.445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOZ,Mozambique,,0.04,,0.026,,0.026,,0.027,,0.03,,,,0.024,,,,,,,,,,0.012179,0.0276,,,,0.0206,,,0.0264,0.027000001,0.0255,,,,,,,,,,0.052999999,,,,,0.056008637,,,,
MRT,Mauritania,,,,0.13,0.13,,,,,0.11,,,,,,,,,0.138,,0.0634,,,0.062700003,,,,,0.113300003,0.082500003,,,,,,,0.068800002,,0.055399999,,,,,0.0557,,,,,0.027372263,,,,
MUS,Mauritius,,,,,,,,,,1.057,,,,,,,,,0.85,0.845499992,0.844099999,0.84740001,0.835099995,0.810800016,0.85799998,,,,0.528500021,,,,0.551500022,0.520699978,,,,,0.235400006,,,,,0.239700004,,,,,0.254980087,,,,
MWI,Malawi,,,,0.019,0.019,0.019,,,,0.02,0.011,,,,,,,,,,0.027799999,,,0.0219,0.022600001,,,,,0.087399997,,,0.0185,,,,,,,,,,,0.0131,,,,,0.021132076,,,,
MYS,Malaysia,,,,1.198,,0.941,,,,,,0.71,,0.702,0.683,,0.658,0.496,0.478,0.449200004,0.430999994,0.41139999,0.392800003,0.391900003,0.373800009,0.366600007,0.348399997,0.334600002,0.314999998,,,,0.255199999,0.255299985,,,,,0.233500004,,,,,0.231999993,,,,,0.161229208,,,,
NAC,North America,,,,2.413966721,,,,,,,,,,2.514769544,,,,,,,,,,1.830053638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAM,Namibia,,,,0.374,,,0.374,,,0.3,,,,,,,0.295,,,,,0.231600002,0.231399998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCL,New Caledonia,,,,,,,,,,,,,,,1.982,,,,,,,,,,,,,,,,0.653400004,,,,,,,,,,,,,,,,,,,,,,
NER,Niger,,,,0.019,,0.019,,,,0.02,,0.033,,,,0.033,0.035,0.024,,0.022500001,,0.0272,,0.0184,,,,,,0.0251,,,,,,,,,0.0164,,,,,0.0166,,,,,0.015737161,,,,
NGA,Nigeria,,,,0.395,0.408,0.395,,,,,0.28,,,0.269,,,,,,,0.192000002,0.185000002,,,0.192000002,,,0.186700001,0.192399994,,,0.149000004,,0.112999998,,,,,0.0495,,,,,0.0504,,,,,0.042609483,,,,
NIC,Nicaragua,,,,,,,,,,,0.374,,,,,,0.856,,0.82,,,,,0.657100022,,0.471300006,,,,0.636900008,,,0.425500005,0.415600002,,,,,0.459600002,,,,,0.452699989,,,,,0.378109455,,,,
NLD,Netherlands,,,,2.859,,2.859,3.921,,3.71,,3.1,3.1,3.3,3.2,3.1,2.9,,,,,,,2.6,2.5,2.4,2.4,2.4,2.3,2.2,2.2,2.1,2.0,2.0,1.9,1.8,1.8,1.7,1.7,1.6,1.5,1.4,1.4,1.3,1.2,1.2,1.2,1.2,1.2,1.2,1.1,1.1,1.1,1.1
NOC,High income: nonOECD,,,,3.562436924,,,,,,,,,,3.656864621,,,,,,,,,,3.342443704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOR,Norway,,,3.739,4.159,4.159,4.076,3.889,3.77,,,3.1,3.1,3.0,2.9,2.8,2.7,2.5,2.8,2.8,2.7,2.6,2.6,2.6,,,,2.5,2.3,2.2,2.2,2.1,2.1,2.0,2.0,1.9,1.9,1.9,1.8,1.7,1.7,1.6,1.5,1.5,1.4,1.4,1.4,1.3,1.3,1.3,1.2,1.1,1.2,
NPL,Nepal,,,,,,,,,,0.209,,,0.052,,,0.04,0.04,0.04,0.04,,0.073700003,0.0757,0.062100001,0.050700001,0.0537,0.050799999,0.050999999,,0.0341,0.031399999,,,,0.033500001,,,,,0.018999999,,,,,0.0186,,,,,0.020759962,,,,
NZL,New Zealand,,,,2.735,,,2.384,,,,2.2,2.13,2.2,2.2,2.2,2.2,2.2,2.0,2.0,2.0,1.9,1.9,1.9,1.9,1.9,1.9,1.8,1.8,1.7,1.7,1.7,1.6,1.6,1.6,1.5,1.4,1.4,1.3,,,1.2,,1.1,,,,,1.1,,,,,1.1
OEC,High income: OECD,,,,2.859236309,,,,,,,,,,2.642330989,,,,,,,,,,2.053151871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OED,OECD members,,,,2.720625491,,,,,,,,,,2.513536756,,,,,,,,,,1.902900011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OMN,Oman,,,2.223,2.048,,1.901,1.84,,1.67,1.319,,1.257,,,,1.33,1.3,,,,0.884199977,,,0.610899985,0.883099973,,0.833500028,,0.523299992,,,0.549099982,,0.466800004,,,,,0.1074,,,,,0.107900001,,,,,0.038034864,,,,
OSS,Other small states,,,,,,,,,,,,,,,,,,,,,,,,0.309625633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAK,Pakistan,,,,0.827,0.813,,0.777,,0.8,0.739,,,0.662,,,,0.57,,,0.595399976,0.518100023,0.503099978,0.479699999,0.461800009,,,,0.351399988,,,,0.342299998,0.343699992,0.2852,,,,,0.232600003,,,,,0.231999993,,,,,,,,,
PAN,Panama,,,1.554,,,,,,,,,,,1.502,,,,1.17,1.668,,1.779399991,,,1.639999986,,1.793300033,,,1.006000042,1.020799994,,,0.992999971,,,,,,0.596599996,,,,,0.613499999,,,,,0.47812739,,,,
PER,Peru,,1.132,,0.92,0.92,,,,,,,,,,1.17,,0.932,,0.98,,,1.029999971,,1.064499974,1.034800053,0.965200007,0.983399987,0.984099984,0.928600013,0.907500029,0.90170002,0.846300006,0.760100007,0.715799987,0.691799998,,,,0.526300013,,,,,0.520699978,,,,,0.604517281,,,,
PHL,Philippines,,,,,,,,,,1.153,,1.15,,0.585,,,1.24,1.23,,,,0.108400002,,0.118699998,0.124200001,,,,0.153600007,0.153600007,,,0.149900004,0.128199995,,,,,0.1127,,,,,0.110799998,,,,,,,,,
PLW,Palau,,,,1.381,,,,1.3,,,,,,1.58,,1.111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PNG,Papua New Guinea,,,,0.053,,0.053,,,,,,,,0.05,,0.073,,,,,,,,0.072700001,,,,,0.162200004,,,,0.062199999,0.062199999,,,,,0.0854,,0.0561,,,0.085900001,,,,,0.07914339,,,,
POL,Poland,,,2.199,2.068,,2.144,,2.012,1.97,,2.5,2.3,2.3,2.2,2.3,2.3,2.4,2.4,2.3,2.3,2.2,2.2,2.2,2.1,2.1,2.1,2.1,2.0,2.0,1.9,1.9,1.8,1.8,1.8,1.7,1.7,1.7,1.6,1.6,1.6,1.5,1.5,1.5,1.4,1.4,1.4,1.3,1.3,1.2,1.2,1.1,1.1,1.0
PRI,Puerto Rico,,,,,,,,,,,,,,,,,,,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRK,"Korea, Dem. Rep.",,,,,,,,,,,3.291,,,,,,,,2.97,,,,,,,,,,,,2.511100054,2.549099922,,,,,,,,,,,,,,,,,,,,,
PRT,Portugal,,,,3.868,,,,,3.44,,3.3,3.3,3.2,3.2,3.1,3.1,3.0,3.0,2.9,2.9,2.9,2.9,2.8,2.8,2.8,2.7,2.6,2.6,2.5,2.4,2.3,2.2,2.1,2.0,1.9,1.7,1.5,1.3,1.2,1.2,1.1,1.0,1.0,0.9,0.9,1.0,0.9,0.9,0.9,0.8,0.8,0.9,0.8
PRY,Paraguay,,,,,,,,,,,,1.107,,1.17,,,1.098,,0.73,0.280099988,,,0.812699974,0.649999976,,0.639699996,,,0.675000012,0.700600028,,,0.578599989,,0.563199997,,,,0.438899994,,,,,0.435299993,,,,,0.532916844,,,,
PSS,Pacific island small states,,,,0.353441191,,,,,,,,,,0.365510077,,,,,,,,,,0.276162809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PYF,French Polynesia,,,,,,,,,,,,,,1.697,,,,,,,,,,,,,,,1.25150001,,,,,,,,,,,,,,,,,,,,,,,,
QAT,Qatar,,,,7.739,,,,2.757,2.64,,,,2.217,,,,1.26,1.26,,,,,,1.5,,,,1.675600052,,,,,0.737900019,,,,,,,,,,,0.513499975,,,,,,,,,
ROU,Romania,,,2.386,2.385,,,,1.9166,,,1.905,,1.887,1.889,1.909,1.836,1.791,1.81,1.768,1.764799953,1.769500017,1.86590004,1.815899968,1.801800013,1.811499953,1.805199981,1.789800048,1.783499956,1.762400031,1.723899961,1.97239995,1.634699941,1.540799975,1.475700021,1.413499951,1.376999974,1.355200052,1.332100034,1.318099976,,1.2421,,1.207599998,1.184999943,,,,,1.315814376,,,,
RUS,Russian Federation,,,,4.3089,,,,4.309,4.0,4.0,4.252,4.0,4.172,4.213,4.194,4.209,4.155,4.096,3.859,3.835099936,3.972300053,3.871700048,4.045599937,4.070400238,4.085199833,4.039700031,4.004199982,3.938999891,3.870899916,,,,,,,,,,,,,,,,,,,,,,,,
RWA,Rwanda,,,,0.056,,,,,0.024,0.05,,0.019,,,,,,,,,0.040100001,,,,0.040100001,,,,0.026900001,,0.0287,,0.0309,0.031800002,,,,,0.0167,,,,,0.0166,,,,,0.013823437,,,,
SAS,South Asia,,,,0.67385071,,,,,,,,,,0.487579508,,,,,,,,,,0.433685821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAU,Saudi Arabia,,,,0.939,0.767,0.939,1.622,,,1.37,,,1.397,,,,1.66,,,,1.335100055,,,1.433400035,,,,1.345600009,,,,,0.549600005,,,,,,,,,,,0.134000003,,,,,0.106405184,,,,
SCE,Southern Cone Extended,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDN,Sudan,,,,0.28,,0.28,,0.3,,0.22,,,,0.158,,,,0.09,,0.104800001,,,,,,,,0.089900002,,0.096199997,,,0.1008,0.109899998,,,,,0.068499997,,,,,0.068300001,,,,,0.041190289,,,,
SEN,Senegal,,,,0.059,,0.059,,,,0.06,,,,,,0.095,0.093,0.093,0.075,0.095600002,,0.067599997,,0.054900002,,,,,,,,0.0766,0.0788,,,,,,0.0614,,,,,0.063299999,,,,,0.051296193,,,,
SGP,Singapore,,,,1.921,,,,,,,1.5,,1.4,,1.348,1.627,,,,1.410599947,1.384799957,1.347800016,1.320299983,1.265799999,,1.110999942,,0.72299999,0.998199999,,,,0.876800001,0.850899994,,,,,0.666800022,,,,,0.656899989,,,,,0.526232123,,,,
SLB,Solomon Islands,,,,0.224,0.224,,,,0.186,,0.13,,,,0.127,,,,0.14,,,0.156900004,,,0.151999995,,,0.135199994,,,,,,,,,,,,,,,,0.204999998,,,,,,,,,
SLE,Sierra Leone,,,,0.022,,0.016,,,,0.03,,,,,,,,0.073,,,,,,,,,,,,0.074699998,,,0.052700002,0.057799999,,,,,0.0539,,,,,0.0561,,,,,0.059283655,,,,
SLV,El Salvador,,,,1.596,,1.596,,1.5,,,,1.24,,1.211,,,1.071,,0.91,,0.660099983,,,0.839999974,,0.647300005,,,,0.351700008,,,0.386500001,0.325599998,,,,,0.241999999,,,,,0.243200004,,,,,,,,,
SMR,San Marino,,5.133,4.883,,,,,,,,,,,,,,,,,,,,,47.35,2.423000097,2.538000107,2.519000053,2.398999929,2.286999941,2.165999889,2.246999979,2.180999994,2.217999935,2.059999943,,,,,,,,,,,,,,,,,,,
SOM,Somalia,,,,0.035,,,,0.035,,,,,,,,,0.04,,,,0.042199999,,,,,,,,,0.071400002,,,0.041000001,0.046100002,,,,,0.037999999,,,,,0.036699999,,,,,0.027103687,,,,
SRB,Serbia,,,,2.112,2.114,,2.035,1.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSA,Sub-Saharan Africa (developing only),,,,0.199537078,,,,,,,,,,0.169465868,,,,,,,,,,0.136856097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSD,South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSF,Sub-Saharan Africa (all income levels),,,,0.199537078,,,,,,,,,,0.169465868,,,,,,,,,,0.1369793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SST,Small states,,,,0.460502201,,,,,,,,,,,,,,,,,,,,0.411973726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP,Sao Tome and Principe,,,,,,,,,,0.491,,,,,,,,0.467,,,,0.327899993,,0.530399978,0.545799971,,,,,,0.537,,0.41870001,0.438199997,,,,,,,,,,0.232899994,,,,,,,,,
SUR,Suriname,,,,,,,,,,0.911,,,,0.45,,,,0.252,0.75,,0.762000024,,,0.75,,,,,,0.790899992,,,,,,,,,,,,,,0.46509999,,,,,,,,,
SVK,Slovak Republic,,,,3.0,,,3.0,,,3.12,3.1,3.1,3.1,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SVN,Slovenia,,,2.516,2.542,,2.473,,2.424,2.4,,,2.253,2.194,2.17,2.135,2.178,2.147,2.135,2.121,2.189500094,2.030299902,2.090699911,2.07859993,1.990100026,2.063199997,2.023600101,2.004400015,1.882099986,1.879199982,1.861099958,,1.842599988,,1.771000028,,,,,,,,,,,,,,,,,,,
SWE,Sweden,,,,3.77,3.868,3.77,3.265,3.583,,3.28,,3.3,3.2,3.1,3.0,3.0,2.9,2.9,2.9,2.8,2.7,2.7,,2.9,2.8,2.8,2.8,2.8,2.6,2.6,2.4,2.3,2.3,2.2,2.0,2.0,1.9,1.8,1.7,1.6,1.5,1.5,1.4,1.3,1.3,1.2,1.2,1.1,1.1,1.1,1.0,1.0,1.0
SWZ,Swaziland,,,,,0.17,,,,,0.16,,,,0.176,,,,0.151,,,,,,0.107799999,,,,,,,0.053199999,,,,,,,,,,,,,0.1241,,,,,,,,,
SXM,Sint Maarten (Dutch part),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SYC,Seychelles,,,,,,,,,,1.513,,,,,,,,1.324,,,1.027400017,,5.788700104,,,,,,0.445100009,,0.406800002,,,,,,,,0.218099996,,,,,0.223900005,,,,,,,,,
SYR,Syrian Arab Republic,,,,1.5,,1.5,,0.53,,,,,1.399,,1.3,1.44,1.1,,,,,,,0.834800005,0.862999976,,0.783399999,0.806599975,,,,,0.463,0.445800006,,,,,0.256399989,,,,,0.25940001,,,,,0.185164317,,,,
TCA,Turks and Caicos Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCD,Chad,,,,,,,,0.037,,0.04,,,0.025,,,,,,,0.033,,,,,0.0262,,,0.0263,,,,,,,,0.0211,,,,,,,,0.0162,,,,,0.01379724,,,,
TGO,Togo,,,,0.053,,0.053,,,,0.04,,,0.057,,,,,,0.076,0.056400001,,,0.087800004,,,,,0.085299999,,0.117399998,,,0.048599999,0.055199999,,,,,0.034899998,,,,,0.0348,,,,,0.042761147,,,,
THA,Thailand,,,,0.393,,0.316,0.334,0.313,0.293,0.298,0.277,0.271,0.294,0.285,0.291,0.291,0.272,0.269,0.238,0.238,0.233099997,0.233700007,0.226600006,0.225299999,0.232800007,0.209700003,0.181400001,0.1822,0.169100001,0.159999996,0.159500003,,0.145500004,0.147,,,,,0.119099997,,,,,0.120700002,,,,,0.139682129,,,,
TJK,Tajikistan,,,1.899,2.101,,,,2.0128,,,2.033,,2.18,2.13,2.102,2.086,2.023,2.086,2.136,2.254100084,2.176700115,2.265700102,2.419199944,2.550899983,2.678200006,2.697099924,2.582299948,2.555900097,2.527400017,,,,,,,,,,,,,,,,,,,,,,,,
